,symbol,currency,shortName,longName,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceEarnings,earningsPerShare,logourl,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,averageDailyVolume3Month,averageDailyVolume10Day,marketCap,publicoalvo,administrador,rendimento,dy,data_pagamento,data_base,rendimento_12m,rendimento_12m_porcen,patrimonio_cota,cota_vp,negocios,participacao_ifix,numero_cotista,patrimonio,cota_base,tipo,subtipo
89,FAED11,BRL,FII ANH EDUCCI,Fundo de Investimento Imobiliário - FII Anhanguera Educacional,0.38000488,0.21408726,2023-07-28T20:00:00.000Z,177.88,177.89,176.91 - 177.89,176.91,113.0,177.5,177.5,45.800003,0.34675956,132.08 - 179.73,-1.8499908,-0.010293167,132.08,179.73,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,149.3618,28.518204,0.19093372,1083.0,2141.0,114228848.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1.48,1.02,15/06/2023,07/06/2023,1.57,1.08,217.59,0.69,3.0,,4798.0,139747546.66,145.02,Tijolo,Educacional
90,FATN11,BRL,FII ATHENA ICI,Fundo De Investimento Imobiliario Athena I,2.050003,2.1590343,2023-07-28T20:00:00.000Z,97.0,97.94,94.94 - 97.94,94.94,7514.0,94.95,94.95,6.8399963,0.07586508,90.16 - 110.0,-13.0,-0.11818182,90.16,110.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,94.54395,2.456047,0.025977833,1579.0,3457.0,117872464.0,Investidores em Geral,BR-CAPITAL DTVM S.A.,0.83,0.86,15/06/2023,06/06/2023,0.85,0.88,99.31,0.97,2.0,,1391.0,126140890.22,97.0,Tijolo,Lajes Corporativas
91,FCFL11,BRL,FII CAMPUSFLCI  ER,Fundo De Investimento Imobiliario Campus Faria Lima - Inicio De Negociacao,-0.87999725,-0.7610458,2023-07-28T19:25:37.000Z,114.75,115.62,114.38 - 115.62,114.38,212.0,115.63,115.62,16.739998,0.17079887,98.01 - 134.45,-19.699997,-0.14652285,98.01,134.45,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,110.83625,3.9137497,0.0353111,1897.0,2277.0,398642656.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.8,0.74,23/06/2023,16/06/2023,0.81,0.75,116.22,0.93,8.0,,3666.0,403732475.14,108.01,Tijolo,Educacional
92,FGAA11,BRL,FIAGRO FGA  CI,FG/Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario,0.029999733,0.30394867,2023-07-28T20:05:00.000Z,9.9,9.9,9.84 - 9.9,9.84,128045.0,9.87,9.88,0.46000004,0.04872882,9.44 - 10.0,-0.10000038,-0.010000038,9.44,10.0,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,9.743275,0.15672493,0.016085448,138083.0,133893.0,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.14,1.44,15/06/2023,07/06/2023,0.14,1.46,9.59,1.0,104.0,,29011.0,328132325.05,9.71,Fiagro,Fiagro
93,FIGS11,BRL,FII GEN SHOPCI,Fundo de Investimento Imobiliário General Shopping Ativo e Renda - FII,0.6500015,1.0441791,2023-07-28T19:49:41.000Z,62.9,62.9,61.81 - 62.9,61.81,3461.0,62.25,62.25,17.400002,0.38241762,45.5 - 63.27,-0.36999893,-0.0058479365,45.5,63.27,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,51.12435,11.77565,0.23033348,3183.0,3316.0,163005360.0,Investidores em Geral,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,0.42,0.77,15/06/2023,31/05/2023,0.39,0.72,76.33,0.72,8.0,,15053.0,216798128.8,54.2,Tijolo,Shoppings
94,FIIB11,BRL,FII INDL BR CI,Real Estate Investment Fund Industry in Brazil,-0.3999939,-0.07906424,2023-07-28T20:00:00.000Z,505.51,505.8,505.0 - 505.8,505.0,275.0,505.91,505.03,75.51001,0.17560467,430.0 - 510.0,-4.48999,-0.008803902,430.0,510.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,465.00214,40.507874,0.087113306,455.0,382.0,346274368.0,Investidores em Geral,COINVALORES CCVM LTDA,3.25,0.66,09/06/2023,31/05/2023,3.49,0.71,460.89,1.04,3.0,0.29,16872.0,315975630.84,492.99,Tijolo,Imóveis Industriais e Logísticos
95,FISC11,BRL,FII SC 401  CI,Fundo De Investimento Imobiliário SC  401,165.0,0.19249184,2022-04-29T00:30:54.000Z,165.0,165.0,165.0 - 165.0,165.0,0.0,0.0,0.0,0.0,0.0,165.0 - 165.0,0.0,0.0,165.0,165.0,,,https://brapi.dev/favicon.svg,165.0,0.0,0.0,0.0,0.0,280500000.0,Investidores em Geral,BR-CAPITAL DTVM S.A.,0.39,,15/06/2023,06/06/2023,0.27,,115.22,1.43,,,62.0,195925821.91,,Tijolo,Lajes Corporativas
96,FIVN11,BRL,FII VIDANOVACI,Vida Nova Fundo Investimento Immobiliere,0.009999752,0.24813278,2023-07-28T19:42:24.000Z,4.04,4.11,3.99 - 4.11,3.99,1653.0,4.03,4.11,2.08,1.0612245,1.96 - 4.95,-0.90999985,-0.18383837,1.96,4.95,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,3.4925,0.5474999,0.15676446,11247.0,3949.0,38027024.0,,,,,,,,,,,,,,,,,
97,FLCR11,BRL,FII FL RECEBCI,Faria Lima Capital Recebiveis Imobiliarios I FII,0.0,0.0,2023-07-28T20:00:00.000Z,93.49,93.5,93.4 - 93.5,93.4,335.0,93.49,93.49,2.959999,0.032696333,90.53 - 99.92,-6.4300003,-0.064351484,90.53,99.92,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,94.2273,-0.7373047,-0.007824746,1443.0,1087.0,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,1.3,1.39,15/06/2023,07/06/2023,1.12,1.19,98.37,0.95,7.0,,2642.0,62327865.84,93.85,Papel,Papéis
98,FLFL11,BRL,FII FL4440  CI,FL4440 Fundo De Investimento Imobiliario,0.0,0.0,2023-06-22T14:39:27.000Z,100.0,100.0,100.0 - 100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0 - 100.0,0.0,0.0,100.0,100.0,,,https://brapi.dev/favicon.svg,100.0,0.0,0.0,277.0,0.0,145150000.0,,,,,,,,,,,,,,,,,
99,FLMA11,BRL,FII S F LIMACI,Unitas DTVM S.A.,-0.02999878,-0.021121439,2023-07-28T19:51:54.000Z,142.0,143.36,141.68 - 143.36,141.68,296.0,142.03,142.03,27.0,0.2347826,115.0 - 146.0,-4.0,-0.02739726,115.0,146.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,127.20475,14.79525,0.116310515,617.0,617.0,196055136.0,Investidores em Geral,BR-CAPITAL DTVM S.A.,0.94,0.73,15/06/2023,06/06/2023,0.89,0.7,160.57,0.82,2.0,,16119.0,220582728.59,128.52,Tijolo,Lajes Corporativas
100,FLRP11,BRL,FII FLORIPA CI,Fundo de Investimento Imobiliário - FII Floripa Shopping,0.0,0.0,2023-07-28T15:09:41.000Z,1910.0,1910.0,1910.0 - 1910.0,1910.0,5.0,1910.0,1910.0,480.0,0.33566433,1430.0 - 2140.0,-230.0,-0.10747664,1430.0,2140.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,1627.7812,282.21875,0.17337634,6.0,5.0,,Investidores em Geral,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,13.5,0.75,15/06/2023,31/05/2023,12.42,0.69,1829.42,0.98,62.0,,783.0,119321385.38,1795.0,Tijolo,Shoppings
101,FMOF11,BRL,FII MEMORIALCI,Fundos de Investimento Imobiliário Memorial Office Of Cotas,0.0,0.0,2023-07-27T15:12:33.000Z,57.0,57.0,57.0 - 57.0,57.0,0.0,57.0,0.0,9.490002,0.19974746,47.51 - 65.29,-8.290001,-0.12697199,47.51,65.29,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,55.7237,1.2762985,0.022904051,419.0,429.0,28956456.0,Investidores em Geral,COINVALORES CCVM LTDA,0.31,0.53,13/01/2023,29/12/2022,0.04,0.06,122.8,0.44,143.0,,289.0,60345486.35,58.99,Tijolo,Lajes Corporativas
102,FPAB11,BRL,FII A BRANCACI,Fundo de Investimento Imobiliário Projeto Água Branca,0.0,0.0,2023-07-28T16:20:47.000Z,175.0,175.0,175.0 - 175.0,175.0,6.0,175.0,175.0,63.97,0.5761506,111.03 - 218.83,-43.83,-0.20029247,111.03,218.83,,,https://s3-symbol-logo.tradingview.com/fii-a-brancaci--big.svg,154.7769,20.223099,0.13065967,21.0,7.0,131250000.0,Investidores em Geral,COINVALORES CCVM LTDA,1.9,1.28,15/06/2023,31/05/2023,1.53,1.02,375.98,0.44,89.0,,956.0,281311830.28,149.01,Tijolo,Lajes Corporativas
103,FPNG11,BRL,FII P NEGRA CI,Fundo Investimento Imobiliario Pedra Negra Renda Imobiliaria,0.76000214,1.1056185,2023-05-02T16:31:51.000Z,69.5,69.5,69.5 - 69.5,69.5,0.0,68.74,0.0,9.5,0.15833333,60.0 - 76.31,-6.8099976,-0.08924122,60.0,76.31,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,69.73195,-0.23194885,-0.0033262924,0.0,0.0,71052632.0,Investidores em Geral,BR-CAPITAL DTVM S.A.,0.49,,15/06/2023,06/06/2023,0.71,,170.74,0.41,1.0,,68.0,236649073.51,,Tijolo,Lajes Corporativas
104,FVPQ11,BRL,FII V PARQUECI,FVPQ - Fii V Parque,0.0799942,0.06842375,2023-07-28T19:47:47.000Z,116.99,117.06,116.6 - 117.06,116.6,330.0,116.91,116.91,32.43,0.38351467,84.56 - 129.99,-13.000008,-0.10000775,84.56,129.99,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,103.1109,13.879097,0.13460359,439.0,419.0,327589536.0,Investidores em Geral,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.68,0.67,09/06/2023,31/05/2023,0.75,0.73,191.99,0.52,919.0,,3932.0,536352498.0,102.0,Tijolo,Shoppings
105,FZDA11,BRL,FIAGRO 051  CI,,-3.0800018,-1.9483818,2023-07-28T19:42:04.000Z,155.0,160.0,155.0 - 160.0,155.0,72.0,158.08,155.0,55.0,0.55,100.0 - 170.0,-15.0,-0.0882353,100.0,170.0,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,125.51255,29.48745,0.23493627,63.0,115.0,,Investidor Profissional,XP INVESTIMENTOS CCTVM S.A.,2.26,1.9,08/05/2023,28/04/2023,0.19,0.16,99.24,1.52,107.0,,145.0,154410583.73,119.0,Fiagro,Fiagro
106,FZDB11,BRL,FIAGRO FZDB CI,051 Agro Fazendas Iii Fundo De Investimento Nas Cadeias Produtivas Agroindustriais,0.0,0.0,2023-07-14T16:56:09.000Z,105.0,105.0,105.0 - 105.0,105.0,0.0,105.0,0.0,0.0,0.0,105.0 - 105.0,0.0,0.0,105.0,105.0,,,https://brapi.dev/favicon.svg,,,,,,,,,,,,,,,,,,,,,,,
107,GALG11,BRL,FII GUARDIANCI,Guardian Logistica Fundo De Investimento Imobiliario,0.010000229,0.10965164,2023-07-28T20:05:00.000Z,9.13,9.14,9.09 - 9.14,9.09,151739.0,9.12,9.12,1.1400003,0.1426784,7.99 - 10.0,-0.8699999,-0.08699999,7.99,10.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,8.93735,0.19264984,0.021555588,95176.0,129809.0,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.08,0.95,07/06/2023,31/05/2023,0.08,0.94,9.22,0.95,95.0,0.45,49427.0,527575473.06,8.64,Tijolo,Imóveis Industriais e Logísticos
108,GAME11,BRL,FII GUARD MUCI  ER,Fundo De Investimento Imobiliario Guardian Multiestrategia Imobiliaria I,0.09999943,1.0940856,2023-07-28T20:05:00.000Z,9.24,9.25,9.11 - 9.25,9.11,10716.0,9.14,9.14,1.1199999,0.13793102,8.12 - 9.94,-0.6999998,-0.070422515,8.12,9.94,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,8.8534,0.38659954,0.043666787,24300.0,17630.0,,Investidores em Geral,BANCO DAYCOVAL S.A.,0.1,1.13,21/06/2023,12/06/2023,0.11,1.21,10.04,0.87,32.0,,21347.0,217820700.81,8.85,Fundo Misto,Indefinido
109,GCFF11,BRL,FII GALAPAGOCI,Galapagos Fundo De Fundos Fii Fundo De Investimento Imobiliario,-69.3,-100.0,2023-06-27T20:05:00.000Z,0.0,0.0,0.0 - 0.0,0.0,0.0,69.3,0.0,0.0,,0.0 - 75.0,-75.0,-1.0,0.0,75.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,69.229,-69.229,-1.0,823.0,0.0,0.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.75,1.15,24/04/2023,14/04/2023,0.7,1.08,78.83,0.88,1.0,,1838.0,27881212.16,65.0,Papel,Fundo de Fundos
110,GCOI11,BRL,FII GALAP SPCI,Galapagos Special Oportunities Fundo De Investimento Imobiliario,0.8059006,0.8208056,2023-07-05T19:33:10.000Z,98.99,98.99,98.99 - 98.99,98.99,0.0,98.1841,0.0,0.0,0.0,98.99 - 98.99,0.0,0.0,98.99,98.99,,,https://brapi.dev/favicon.svg,98.99,0.0,0.0,37.0,0.0,,,,,,,,,,,,,,,,,,
111,GCRA11,BRL,FIAGRO GLPG CI,Galapagos Recebiveis Do Agronegocio Fiagro Imobiliario,0.0,0.0,2023-07-28T19:50:28.000Z,93.4,93.4,93.01 - 93.4,93.01,4071.0,93.4,93.39,0.3899994,0.004193091,93.01 - 93.4,0.0,0.0,93.01,93.4,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,,,,,,,Investidores em Geral,SOCOPA SOCIEDADE CORRETORA PAULISTA SA,1.2,1.28,15/06/2023,07/06/2023,1.25,1.33,98.01,0.95,4.0,,6690.0,171758331.32,93.99,Fiagro,Fiagro
112,GCRI11,BRL,FII GLPG CRICI  ER,Galapagos Recebiveis Imobiliarios Fundo De Investimento Imobiliario,-0.34999847,-0.38255382,2023-07-28T20:00:00.000Z,91.14,91.48,90.51 - 91.48,90.51,1162.0,91.49,91.48,4.0899963,0.04698445,87.05 - 97.48,-6.340004,-0.065039024,87.05,97.48,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,91.3449,-0.20490265,-0.0022431756,2446.0,1914.0,91318632.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,1.1,1.2,21/06/2023,14/06/2023,1.14,1.24,95.17,0.96,9.0,,3803.0,129558302.88,91.82,Papel,Papéis
113,GGRC11,BRL,FII GGRCOVEPCI,Ggr Covipe Renda Fundo Investimento Imobiliario,0.08999634,0.0744325,2023-07-28T20:00:00.000Z,121.0,121.0,120.7 - 121.0,120.7,5816.0,120.91,120.98,23.800003,0.244856,97.2 - 124.95,-3.949997,-0.03161262,97.2,124.95,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,111.76096,9.239037,0.082667835,10905.0,8434.0,,Investidores em Geral,CM CAPITAL MARKETS DTVM LTDA,1.05,0.9,09/06/2023,01/06/2023,0.98,0.84,125.0,0.95,52.0,0.84,103634.0,1035779303.27,116.53,Tijolo,Imóveis Industriais e Logísticos
114,GLOG11,BRL,FII PLURAL LCI,Genial Logistica Fundo De Investimento Imobiliario,-0.12999725,-0.18536611,2023-07-28T19:54:34.000Z,70.0,70.14,69.6 - 70.14,69.6,812.0,70.13,70.12,4.5,0.06870229,65.5 - 81.99,-11.989998,-0.14623733,65.5,81.99,,,https://brapi.dev/favicon.svg,71.35855,-1.358551,-0.019038377,1065.0,499.0,,,,,,,,,,,,,,,,,,
115,GRWA11,BRL,FIAGRO GRWA CI,Greenwich Agro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro - Imobiliario,-0.030000687,-0.2909863,2023-07-28T19:36:39.000Z,10.28,10.31,10.27 - 10.31,10.27,211.0,10.31,10.31,1.2799997,0.1422222,9.0 - 10.5,-0.22000027,-0.020952407,9.0,10.5,,,https://brapi.dev/favicon.svg,10.142886,0.13711357,0.013518201,1609.0,1320.0,,Investidores em Geral,BANCO DAYCOVAL S.A.,0.12,1.17,15/06/2023,07/06/2023,0.03,0.24,10.11,1.0,319.0,,160.0,12813599.91,10.22,Fiagro,
116,GSFI11,BRL,FII GENERAL CI,General Shopping E Outlets Do Brasil Fundo De Investimento Imobiliario FII,0.099999905,1.3908193,2023-07-28T19:54:16.000Z,7.29,7.42,7.19 - 7.42,7.19,685546.0,7.19,7.2,2.9899998,0.69534874,4.3 - 7.95,-0.65999985,-0.083018854,4.3,7.95,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,5.51535,1.7746501,0.32176563,190291.0,280163.0,548194112.0,,,,,,,,,,,,,,,,,
117,GTLG11,BRL,FII GTIS LG CI,Gtis Brazil Properties Fundo De Investimento Imobiliario - Fii,-1.0,-1.5384616,2023-07-28T20:05:00.000Z,64.0,65.01,59.0 - 65.01,59.0,948.0,65.0,65.01,5.0,0.084745765,59.0 - 100.0,-36.0,-0.36,59.0,100.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,96.8632,-32.863197,-0.33927435,78.0,189.0,563166080.0,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.7,0.72,15/06/2023,07/06/2023,0.7,0.72,92.07,1.06,569.0,,177.0,655132499.01,97.05,Tijolo,Imóveis Industriais e Logísticos
118,GTWR11,BRL,FII G TOWERSCI,Fundo Investimento Imobiliario Green Towers,0.6399994,0.7678457,2023-07-28T20:05:00.000Z,83.99,83.99,83.2 - 83.99,83.2,14756.0,83.35,83.4,14.909996,0.21583664,69.08 - 87.88,-3.8899994,-0.0442649,69.08,87.88,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,77.7277,6.2622986,0.080567144,12499.0,8654.0,,Investidores em Geral,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,0.79,0.99,15/06/2023,31/05/2023,0.77,0.96,94.95,0.84,47.0,0.83,27409.0,1139875668.01,79.9,Tijolo,Lajes Corporativas
119,GURB11,BRL,FII PLUR URBCI,Plural Renda Urbana FII,0.0,0.0,2023-07-27T16:54:00.000Z,104.0,104.0,104.0 - 104.0,104.0,0.0,104.0,0.0,4.0,0.04,100.0 - 104.0,0.0,0.0,100.0,104.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,101.22944,2.7705612,0.027369125,14492.0,40196.0,,Investidores em Geral,PLURAL S.A. BANCO MÚLTIPLO,0.85,0.83,15/06/2023,31/05/2023,0.61,0.59,109.71,0.94,1.0,,19.0,124436046.96,103.0,Fundo Misto,Indefinido
120,HAAA11,BRL,FII HEDGEAAACI,Hedge Aaa Fundo De Investimento Imobiliario,0.0,0.0,2023-07-27T15:03:01.000Z,64.0,64.0,64.0 - 64.0,64.0,0.0,64.0,0.0,4.0999985,0.06844739,59.9 - 98.2,-34.199997,-0.3482688,59.9,98.2,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,74.8389,-10.838898,-0.14482974,28.0,14.0,,Investidores em Geral,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,0.43,,15/06/2023,31/05/2023,0.51,,88.43,0.72,96.0,,298.0,280220007.19,,Tijolo,Lajes Corporativas
121,HABT11,BRL,FII HABIT IICI,Habitat Ii - Fundo De Investimento Imobiliario,0.25,0.2610966,2023-07-28T20:05:00.000Z,96.0,96.5,95.75 - 96.5,95.75,13847.0,95.75,95.75,13.989998,0.17058893,82.01 - 98.49,-2.4899979,-0.025281733,82.01,98.49,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,89.7884,6.2116013,0.069180444,16195.0,13921.0,388512960.0,Investidores em Geral,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1.3,1.41,12/06/2023,31/05/2023,1.15,1.25,99.14,0.93,58.0,0.67,71453.0,797721773.58,92.49,Papel,Papéis
122,HBCR11,BRL,FII HBC REN CI,Fundo De Investimento Imobiliario Hbc Renda Urbana,0.0,0.0,2023-07-27T18:58:36.000Z,120.62,120.62,120.62 - 120.62,120.62,0.0,120.62,0.0,12.139999,0.11191002,108.48 - 120.62,0.0,0.0,108.48,120.62,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,112.413216,8.206787,0.073005535,43267.0,43267.0,,Investidores em Geral,PLURAL S.A. BANCO MÚLTIPLO,0.54,0.48,15/06/2023,31/05/2023,0.63,0.56,103.73,1.09,3.0,,41.0,115877284.32,112.45,Fundo Misto,Indefinido
123,HBRH11,BRL,FII MULT RENCI,Fundo De Investimento ImobiliaRio Multi Renda Urbana,0.010002136,0.010613472,2023-07-28T19:51:19.000Z,94.25,94.25,94.2 - 94.25,94.2,2.0,94.24,94.2,13.720001,0.17037131,80.53 - 103.5,-9.25,-0.08937198,80.53,103.5,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,92.56315,1.6868515,0.01822379,745.0,1076.0,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.55,0.57,15/06/2023,31/05/2023,0.63,0.65,112.24,0.87,184.0,,1109.0,311309169.8,95.98,Tijolo,Lajes Corporativas
124,HCHG11,BRL,FII HECT CRICI,Hectare Recebiveis High Grade Fundo De Investimento Imobiliario  Fii,0.9599991,1.1999989,2023-07-28T19:51:00.000Z,80.96,80.98,80.0 - 80.98,80.0,1898.0,80.0,80.02,4.449997,0.05816229,76.51 - 88.9,-7.9400024,-0.089313865,76.51,88.9,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,82.7167,-1.7566986,-0.021237534,437.0,1087.0,,Investidores em Geral,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1.0,1.2,15/06/2023,31/05/2023,0.98,1.18,98.82,0.8,609.0,,753.0,118475931.1,83.29,Papel,Papéis
125,HCRI11,BRL,FII CRIANCA CI  ER,Fundo de Investimento Imobiliário - FII Hospital da Criança,-0.22000122,-0.077198826,2023-07-28T19:12:17.000Z,284.76,289.96,275.54 - 289.96,275.54,57.0,284.98,275.54,71.26001,0.33377054,213.5 - 289.96,-5.1999817,-0.017933445,213.5,289.96,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,235.9203,48.839706,0.20701782,159.0,109.0,,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,2.6,1.06,20/06/2023,13/06/2023,2.75,1.12,308.16,0.8,977.0,,3137.0,61646070.0,245.46,Tijolo,Hospitalar
126,HCST11,BRL,FII HECT DESCI,Hectare Student Housing I - Fundo De Investimento Em Participacoes Multiestrategia,0.61999893,1.1923056,2023-07-28T17:34:38.000Z,52.62,52.62,51.9 - 52.62,51.9,14.0,52.0,51.9,0.7199974,0.013872782,51.9 - 52.62,0.0,0.0,51.9,52.62,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,,,,,,,,,,,,,,,,,,,,,,,
127,HCTR11,BRL,FII HECTARE CI,Fundo De Investimento Imobiliario Hectare Ce,-1.2999992,-2.3297477,2023-07-28T20:06:00.000Z,54.5,55.4,53.81 - 55.4,53.81,86426.0,55.8,55.33,11.299999,0.26157406,43.2 - 113.27,-58.769997,-0.5188488,43.2,113.27,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,77.79855,-23.298553,-0.29947284,69230.0,55733.0,1107025792.0,Investidores em Geral,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,0.5,0.77,15/06/2023,07/06/2023,0.95,1.47,109.25,0.55,168.0,1.15,209604.0,2438015529.02,64.88,Papel,Papéis
128,HDEL11,BRL,FII HEDGE DVCI,Hedge Desenvolvimento Logistico Fundo De Investimento Imobiliario,0.0,0.0,2023-05-03T18:18:46.000Z,106.09,106.09,106.09 - 106.09,106.09,0.0,106.09,0.0,1.9199982,0.018431393,104.17 - 106.09,0.0,0.0,104.17,106.09,,,https://brapi.dev/favicon.svg,105.56724,0.5227585,0.004951901,2.0,0.0,,Investidor Qualificado,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1.91,,13/01/2023,29/12/2022,0.32,,100.4,1.24,11.0,,58.0,29042496.47,,Tijolo,Imóveis Industriais e Logísticos
129,HDOF11,BRL,FII HEDGE OFCI,Hedge Paladin Design Offices Fundo De Investimento Imobiliario,0.0,0.0,2023-06-06T18:51:56.000Z,115.0,115.0,115.0 - 115.0,115.0,0.0,115.0,0.0,0.0,0.0,115.0 - 130.0,-15.0,-0.115384616,115.0,130.0,,,https://brapi.dev/favicon.svg,120.0,-5.0,-0.041666668,70.0,126.0,,,,,,,,,,,,,,,,,,
130,HFOF11,BRL,FII HTOPFOF3CI,Hedge Top Fofii 3 Fundo Investimento Imobilirio,0.25,0.3164557,2023-07-28T20:05:00.000Z,79.25,79.5,78.0 - 79.5,78.0,46583.0,79.0,79.5,15.25,0.23828125,64.0 - 81.24,-1.9899979,-0.024495296,64.0,81.24,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,70.37875,8.871246,0.12605007,28826.0,33784.0,1823700992.0,Investidores em Geral,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,0.63,0.88,15/06/2023,31/05/2023,0.62,0.86,75.91,0.97,134.0,1.5,72474.0,1830131729.13,72.0,Papel,Fundo de Fundos
131,HGAG11,BRL,FIAGRO HIGH CI  ES,High Fundo De Investimento Agro - Fiagro - Imobiliario,-2.4699993,-8.381403,2023-07-28T20:05:00.000Z,27.0,29.47,27.0 - 29.47,27.0,1438.0,29.47,29.47,2.3899994,0.097114965,24.61 - 104.82,-77.82,-0.74241555,24.61,104.82,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,52.673622,-25.673622,-0.48740947,617.0,627.0,,Investidor Profissional,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,0.35,1.03,07/06/2023,31/05/2023,6.92,20.37,23.09,1.38,921.0,,860.0,5463567.32,33.99,Fiagro,Fiagro
132,HGBS11,BRL,FII HEDGEBS CI,HEDGE Brasil Shopping Fundo de Investimento Imobiliário,1.5899963,0.71425194,2023-07-28T20:05:00.000Z,224.2,224.93,222.51 - 224.93,222.51,6314.0,222.61,223.52,49.399994,0.28260866,174.8 - 224.93,-0.7299957,-0.0032454352,174.8,224.93,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,195.02196,29.17804,0.14961413,8643.0,6061.0,2241999872.0,Investidores em Geral,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1.45,0.7,15/06/2023,31/05/2023,1.38,0.67,218.92,0.94,47.0,1.84,90010.0,2210227247.58,207.71,Tijolo,Shoppings
