,Fundo,CNPJ,Quantidade,Valor (R$),Tipo,Data Referência,Dono
7,BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.752/0001-80,"191,00",212774.0,FII,31/12/2022,CPFF11
8,BTGP LOGISTICA FII,11.839.593/0001-09,"397.723,00",39931389.2,FII,31/12/2022,CPFF11
9,CASTELLO BRANCO OFFICE PARK FUNDO DE INVEST IMOBILIÁRIO FII,17.144.039/0001-85,"80.991,00",4188044.61,FII,31/12/2022,CPFF11
10,CEO CYRELA FII,15.799.397/0001-09,"3.381,00",183385.44,FII,31/12/2022,CPFF11
11,CENESP FII,13.551.286/0001-45,"6.677,00",216334.8,FII,31/12/2022,CPFF11
12,CX RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31.887.401/0001-39,"5.831,00",385020.93,FII,31/12/2022,CPFF11
13,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA,42.066.916/0001-94,"1.990,00",158025.9,FII,31/12/2022,CPFF11
14,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,17.098.794/0001-70,"17.463,00",1100169.0,FII,31/12/2022,CPFF11
15,FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA,12.887.506/0001-43,"1.497,00",657183.0,FII,31/12/2022,CPFF11
16,GALERIA FII,15.333.306/0001-37,"1.016,00",19354.8,FII,31/12/2022,CPFF11
17,EQI CRI FII,41.076.380/0001-25,"10.170,00",97123.5,FII,31/12/2022,CPFF11
18,VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.691.520/0001-00,"73.365,00",6077912.73,FII,31/12/2022,CPFF11
19,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30.567.216/0001-02,"1.576,00",148080.96,FII,31/12/2022,CPFF11
20,GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVEST IMOB,17.590.518/0001-25,"7.099,00",357718.61,FII,31/12/2022,CPFF11
21,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,01.633.741/0001-72,"11.621,00",685522.79,FII,31/12/2022,CPFF11
22,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00.332.266/0001-31,"15.685,00",1725350.0,FII,31/12/2022,CPFF11
23,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN LOGÍSTICA,37.295.919/0001-60,"559.780,00",5256334.2,FII,31/12/2022,CPFF11
24,FII GUARDIAN MULTIESTRATÉGIA,41.269.052/0001-45,"298.187,00",2674737.39,FII,31/12/2022,CPFF11
25,GENERAL SHOPPING E OUTLETS DO BRASIL FII,11.769.604/0001-13,"1.929.203,00",9646015.0,FII,31/12/2022,CPFF11
26,GTIS BRAZIL LOGISTICS FUNDO DE INVESTIMENTO IMOBILIARIO,36.200.677/0001-10,"255.272,00",25527200.0,FII,31/12/2022,CPFF11
27,GENIAL RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.210/0001-00,"61.494,00",6149400.0,FII,31/12/2022,CPFF11
28,FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA,36.501.159/0001-37,"80.000,00",9200000.0,FII,31/12/2022,CPFF11
29,FII MULTI RENDA URBANA,30.871.698/0001-81,"287.467,00",24719287.33,FII,31/12/2022,CPFF11
30,FII HECTARE RECEBÍVEIS HIGH GRADE,34.508.959/0001-54,"3.193,00",273608.17,FII,31/12/2022,CPFF11
31,HEDGE LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.486.542/0001-72,"422,00",38191.0,FII,31/12/2022,CPFF11
32,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI,34.081.631/0001-02,"12.103,00",702458.12,FII,31/12/2022,CPFF11
33,HEDGE RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOB,35.507.262/0001-21,"1.855,00",151182.5,FII,31/12/2022,CPFF11
34,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.892.018/0001-31,"164.929,00",13497789.36,FII,31/12/2022,CPFF11
35,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.098.114/0001-28,"77.348,00",7928170.0,FII,31/12/2022,CPFF11
36,FUNDO DE INVESTIMENTO IMOBILIARIO DE UNIDADES AUTONOMAS,32.774.914/0001-04,"110.835,00",6184593.0,FII,31/12/2022,CPFF11
37,FII LEGATUS SHOPPINGS,30.248.158/0001-46,"262.571,00",26388385.5,FII,31/12/2022,CPFF11
38,MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.499.833/0001-32,"48.412,00",5010642.0,FII,31/12/2022,CPFF11
39,MANATÍ CAPITAL HEDGE FUND FII,42.888.583/0001-89,"33.507,00",338085.63,FII,31/12/2022,CPFF11
40,MAX RETAIL FII,11.274.415/0001-70,"19.270,00",1340228.5,FII,31/12/2022,CPFF11
41,MOGNO FII,29.216.463/0001-77,"16.172,00",952854.24,FII,31/12/2022,CPFF11
42,MOGNO HOTEIS FII,34.197.776/0001-65,"15.496,00",821288.0,FII,31/12/2022,CPFF11
43,SUNO LOG FUNDO DE INVESTIMENTO IMOBILIARIO,40.041.711/0001-29,"8.497,00",339200.24,FII,31/12/2022,CPFF11
44,NAVI TOTAL RE FII,35.652.252/0001-80,"28.357,00",2126775.0,FII,31/12/2022,CPFF11
45,NEWPORT LOGISTICA FII,32.527.626/0001-47,"129.748,00",12650430.0,FII,31/12/2022,CPFF11
46,NEWPORT RENDA URBANA FII,14.793.782/0001-78,"73.412,00",3009892.0,FII,31/12/2022,CPFF11
47,FUNDO DE INVEST IMOB - OURINVEST LOGÍSTICA,13.974.819/0001-00,"43.066,00",1864757.8,FII,31/12/2022,CPFF11
48,PATRIA EDIFICIOS CORPORATIVOS FII,30.048.651/0001-12,"300.187,00",20412716.0,FII,31/12/2022,CPFF11
49,PLURAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.198/0001-34,"19.170,00",1408995.0,FII,31/12/2022,CPFF11
50,PANORAMA DESENVOLVIMENTO LOGÍSTICO - FII,37.899.400/0001-90,"4.370,00",4549563.3,FII,31/12/2022,CPFF11
51,PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIARIO,26.813.118/0001-22,"91.981,00",9198100.0,FII,31/12/2022,CPFF11
52,PDPSC FII,10.869.155/0001-12,"863,00",1859765.0,FII,31/12/2022,CPFF11
53,QUASAR AGRO FII,32.754.734/0001-52,"128.071,00",5513456.55,FII,31/12/2022,CPFF11
54,RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FII,30.647.758/0001-87,"16.790,00",1444779.5,FII,31/12/2022,CPFF11
55,RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.463/0001-33,"3.276,00",275184.0,FII,31/12/2022,CPFF11
56,FUNDO DE INVESTIMENTO IMOBILIARIO RBR PROPERTIES,21.408.063/0001-51,"27.472,00",1400797.28,FII,31/12/2022,CPFF11
57,RIO BRAVO RENDA RESIDENCIAL FII,36.517.660/0001-91,"23.912,00",1291487.12,FII,31/12/2022,CPFF11
58,RIO BRAVO CREDITO IMOBILIARIO II FI IMOBILIARIO,15.769.670/0001-44,"2.993,00",31606.08,FII,31/12/2022,CPFF11
59,FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,"33.509,00",4258993.9,FII,31/12/2022,CPFF11
60,BB RENDA DE PAPÉIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO,23.120.027/0001-13,"167,00",5083.48,FII,31/12/2022,CPFF11
61,REAG MULTI ATIVOS IMOBILIÁRIOS - FII,17.374.696/0001-19,"52.679,00",3160213.21,FII,31/12/2022,CPFF11
62,BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBIL,15.394.563/0001-89,"13,00",2041.13,FII,31/12/2022,CPFF11
63,SANTANDER PAPÉIS IMOBILIARIO CDI FUNDO DE INVESTIMENTO IMOB.,32.903.521/0001-45,"105.978,00",9749976.0,FII,31/12/2022,CPFF11
64,SANTANDER RENDA DE ALUGUÉIS FII,32.903.702/0001-71,"951,00",64563.39,FII,31/12/2022,CPFF11
65,SEQUÓIA III RENDA IMOBILIÁRIA FII,09.517.273/0001-82,"12.668,00",788076.28,FII,31/12/2022,CPFF11
66,TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,"64.771,00",4340304.71,FII,31/12/2022,CPFF11
67,TORRE NORTE FII,04.722.883/0001-02,"185,00",23125.0,FII,31/12/2022,CPFF11
68,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,28.548.288/0001-52,"336.178,00",35349116.7,FII,31/12/2022,CPFF11
69,TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INV IMOBILIÁRIO,34.847.042/0001-84,"15.625,00",1640468.75,FII,31/12/2022,CPFF11
70,VINCI INSTRUMENTOS FINANCEIROS FII,31.547.855/0001-60,"230.838,00",1613557.62,FII,31/12/2022,CPFF11
71,VINCI IMOVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIARIO,36.445.587/0001-90,"254.933,00",2019069.36,FII,31/12/2022,CPFF11
72,VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO,17.870.926/0001-30,"453,00",37553.7,FII,31/12/2022,CPFF11
73,V2 EDIFICIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIARIO,15.006.267/0001-63,"815.403,00",7493553.57,FII,31/12/2022,CPFF11
74,GENESIS MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.982.974/0001-89,"6.415,00",6158400.0,FII,31/12/2022,CPFF11
75,FUNDO DE INVEST IMOB - OURINVEST RE I,28.693.595/0001-27,"593,00",22569.58,FII,31/12/2022,CPFF11
76,XP INDUSTRIAL FII,28.516.325/0001-40,"45.551,00",3362574.82,FII,31/12/2022,CPFF11
77,XP MALLS FII,28.757.546/0001-00,"14.580,00",1395014.4,FII,31/12/2022,CPFF11
78,XP PROP. FUNDO DE INVESTIMENTO IMOBILIAR,30.654.849/0001-40,"75.903,00",2448630.78,FII,31/12/2022,CPFF11
79,FII XP IDEA!ZARVOS,37.262.531/0001-62,"2.065,56",1922955.43,FII,31/12/2022,CPFF11
80,FII SUCCESPAR VAREJO,27.538.422/0001-71,"68.911,00",8010081.0,FII,31/12/2022,CPFF11
81,FII XP EXETER DES LG ,35.755.044/0001-06,"1.749,00",1150222.29,FII,31/12/2022,CPFF11
82,FII FII ATHENA I,30.567.216/0001-02,"22.120,00",2242939.34,FII,31/12/2022,CPFF11
83,XP EXETER II FII CLB,42.463.823/0001-01,"155,00",150880.11,FII,31/12/2022,CPFF11
84,BTGP TESOURO SELIC FI RF REFERENCIADO DI,09.215.250/0001-13,"313.912,19",1137635.47,Outros,31/12/2022,CPFF11
0,AUTONOMY EDIFÍCIOS CORPORATIVOS  FII,35.765.826/0001-26,"62.940,00",3839340.0,FII,31/03/2023,CPTS11
1,FII TORRE ALMIRANTE,07.122.725/0001-00,"46,00",34134.3,FII,31/03/2023,CPTS11
2,CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.921/0001-62,"299,00",17940.0,FII,31/03/2023,CPTS11
3,BB FUNDO DE INVESTIMENTO DE CRÉDITO FIAGRO-IMOBILIÁRIO,42.592.257/0001-20,"32.712,00",2603875.2,FII,31/03/2023,CPTS11
4,BRIO CRÉDITO ESTRUTURADO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.332.032/0001-20,"3.042,00",3038958.0,FII,31/03/2023,CPTS11
5,BRIO MULTIESTRATEGIA - FUNDO DE INVESTIMENTO IMOBILIARIO,41.081.356/0001-84,"10.029,00",67294.59,FII,31/03/2023,CPTS11
6,BLUEMACAW OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.894/0001-47,"43,00",902957.0,FII,31/03/2023,CPTS11
7,FII BM BRASCAN LAJES CORPORATIVAS,14.376.247/0001-11,"12.437,00",1256137.0,FII,31/03/2023,CPTS11
8,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33.046.142/0001-49,"30.375,00",1701000.0,FII,31/03/2023,CPTS11
9,FII BTG PACTUAL CORPORATE OFFICE FUND,08.924.783/0001-01,"1.592,00",84025.76,FII,31/03/2023,CPTS11
10,BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.752/0001-80,"37,00",36999.63,FII,31/03/2023,CPTS11
11,FII BTG PACTUAL FUNDO DE CRI,09.552.812/0001-14,"887.472,00",7978373.28,FII,31/03/2023,CPTS11
12,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.839.593/0001-09,"268.693,00",25388801.57,FII,31/03/2023,CPTS11
13,RBR CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.268/0001-43,"39.190,00",3037616.9,FII,31/03/2023,CPTS11
14,CORPORATE OFFICE PROPERTIES,48.916.699/0001-60,"250.000,00",25000000.0,FII,31/03/2023,CPTS11
15,CAIXA RIO BRAVO FUNDO DE FII II,31.887.401/0001-39,"9.086,00",562877.7,FII,31/03/2023,CPTS11
16,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA,42.066.916/0001-94,"13.833,00",1041901.56,FII,31/03/2023,CPTS11
17,CAIXA RIO BRAVO FUNDO DE FII,17.098.794/0001-70,"26.424,00",1651764.24,FII,31/03/2023,CPTS11
18,FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA,12.887.506/0001-43,"351,00",145282.41,FII,31/03/2023,CPTS11
19,EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO FII,41.076.380/0001-25,"148.284,00",1267828.2,FII,31/03/2023,CPTS11
20,VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.691.520/0001-00,"371.329,00",34737827.95,FII,31/03/2023,CPTS11
21,FII MEMORIAL OFFICE,01.633.741/0001-72,"294,00",15026.34,FII,31/03/2023,CPTS11
22,Fundo de Investimento Imobiliário Guardian Logística,37.295.919/0001-60,"4.966.336,00",41071598.72,FII,31/03/2023,CPTS11
23,FII GUARDIAN MULTIESTRATÉGIA IMOBILIÁRIA I,41.269.052/0001-45,"1.098.912,00",9055034.88,FII,31/03/2023,CPTS11
24,GENERAL SHOPPING E OUTLETS DO BRASIL FII,11.769.604/0001-13,"1.127.008,00",5804091.2,FII,31/03/2023,CPTS11
25,GTIS BRAZIL LOGISTICS FII,36.200.677/0001-10,"932.942,00",88638819.42,FII,31/03/2023,CPTS11
26,GENIAL RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.210/0001-00,"476.824,00",48159224.0,FII,31/03/2023,CPTS11
27,FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA,36.501.159/0001-37,"173.389,00",19646707.59,FII,31/03/2023,CPTS11
28,FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA,30.871.698/0001-81,"877.628,00",79829042.88,FII,31/03/2023,CPTS11
29,HECTARE RECEBÍVEIS HIGH GRADE FII,34.508.959/0001-54,"4.306,00",374492.82,FII,31/03/2023,CPTS11
30,RB CAPITAL OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.894.369/0001-19,"61.286,00",1552987.24,FII,31/03/2023,CPTS11
31,FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI,34.081.631/0001-02,"30.677,00",1786935.25,FII,31/03/2023,CPTS11
32,HEDGE RECEBÍVEIS IMOBILIÁRIOS FII,35.507.262/0001-21,"191.445,00",14741265.0,FII,31/03/2023,CPTS11
33,HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.621/0001-71,"3.048,00",230916.48,FII,31/03/2023,CPTS11
34,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.892.018/0001-31,"26.263,00",2091847.95,FII,31/03/2023,CPTS11
35,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.098.114/0001-28,"854.228,00",87985484.0,FII,31/03/2023,CPTS11
36,Fundo de Investimento Imobiliário de Unidades Autônomas,32.774.914/0001-04,"328.571,00",17686976.93,FII,31/03/2023,CPTS11
37,JFL LIVING FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.181/0001-87,"961,00",56401.09,FII,31/03/2023,CPTS11
38,JPP CAPITAL RECEBÍVEIS IMOBILIÁRIOS FII,30.982.880/0001-00,"42.947,00",4321327.14,FII,31/03/2023,CPTS11
39,LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,30.248.158/0001-46,"126.034,00",13232309.66,FII,31/03/2023,CPTS11
40,MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.499.833/0001-32,"63.536,00",6290064.0,FII,31/03/2023,CPTS11
41,MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.888.583/0001-89,"382,00",3820.0,FII,31/03/2023,CPTS11
42,FII MAX RETAIL,11.274.415/0001-70,"49.976,00",3198464.0,FII,31/03/2023,CPTS11
43,FUNDO DE INVESTIMENTO IMOBILIARIO MOGNO FUNDO DE FUNDOS,29.216.463/0001-77,"600,00",32400.0,FII,31/03/2023,CPTS11
44,NAVI IMOBILIÁRIO TOTAL RETURN FII,35.652.252/0001-80,"69.268,00",4895862.24,FII,31/03/2023,CPTS11
45,NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.527.626/0001-47,"520.976,00",52175746.4,FII,31/03/2023,CPTS11
46,FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,12.948.291/0001-23,"1.105,00",187408.0,FII,31/03/2023,CPTS11
47,FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA,13.974.819/0001-00,"8.173,00",297415.47,FII,31/03/2023,CPTS11
48,PÁTRIA EDIFÍCIOS CORPORATIVOS FII,30.048.651/0001-12,"343.523,00",21762182.05,FII,31/03/2023,CPTS11
49,PLURAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.198/0001-34,"20.907,00",1454290.92,FII,31/03/2023,CPTS11
50,PANORAMA DESENVOLVIMENTO LOGÍSTICO FII,37.899.400/0001-90,"5.877,00",6118485.93,FII,31/03/2023,CPTS11
51,PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.813.118/0001-22,"247.035,00",24703500.0,FII,31/03/2023,CPTS11
52,FII PARQUE DOM PEDRO SHOPPING CENTER,10.869.155/0001-12,"139,00",222400.0,FII,31/03/2023,CPTS11
53,QUASAR AGRO - FUNDO DE INVESTIMENTO IMOBILIARIO,32.754.734/0001-52,"638.964,00",26223082.56,FII,31/03/2023,CPTS11
54,RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FII,30.647.758/0001-87,"10.603,00",876550.01,FII,31/03/2023,CPTS11
55,RBR LOG  FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.463/0001-33,"3.630,00",254571.9,FII,31/03/2023,CPTS11
56,FUNDO DE INVESTIMENTO IMOBILIARIO RBR PROPERTIES - FII,21.408.063/0001-51,"123.075,00",5405454.0,FII,31/03/2023,CPTS11
57,Rio Bravo Renda Residencial FII,36.517.660/0001-91,"17.751,00",887727.51,FII,31/03/2023,CPTS11
58,RIO BRAVO CRÉDITO IMOBILIÁRIO II FII,15.769.670/0001-44,"59.972,00",539748.0,FII,31/03/2023,CPTS11
59,FII RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,"25.610,00",2786111.9,FII,31/03/2023,CPTS11
60,BB RENDA DE PAPÉIS IMOBILIÁRIOS II  FII,23.120.027/0001-13,"5.660,00",140368.0,FII,31/03/2023,CPTS11
61,REAG MULTI ATIVOS IMOBILIÁRIOS FII,17.374.696/0001-19,"3.611,00",169717.0,FII,31/03/2023,CPTS11
62,BB RENDA DE PAPÉIS IMOBILIÁRIOS FII,15.394.563/0001-89,"1.455,00",177510.0,FII,31/03/2023,CPTS11
63,SANTANDER PAPÉIS IMOBILIÁRIOS CDI FII,32.903.521/0001-45,"65.589,00",5771832.0,FII,31/03/2023,CPTS11
64,SANTANDER RENDA DE ALUGUÉIS FII,32.903.702/0001-71,"26.636,00",1486288.8,FII,31/03/2023,CPTS11
65,SEQUÓIA III RENDA IMOBILIÁRIA FII,09.517.273/0001-82,"12.598,00",749329.04,FII,31/03/2023,CPTS11
66,MOGNO SUNO LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,40.041.711/0001-29,"11.397,00",429324.99,FII,31/03/2023,CPTS11
67,TELLUS PROPERTIES  FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,"38.769,00",2574261.6,FII,31/03/2023,CPTS11
68,TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,36.368.925/0001-37,"81.969,00",10000218.0,FII,31/03/2023,CPTS11
69,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,28.548.288/0001-52,"717.982,00",73578795.36,FII,31/03/2023,CPTS11
70,VINCI INSTRUMENTOS FINANCEIROS FII,31.547.855/0001-60,"440.713,00",2961591.36,FII,31/03/2023,CPTS11
71,VINCI IMOVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIARIO,36.445.587/0001-90,"610.041,00",3709049.28,FII,31/03/2023,CPTS11
72,Votorantim Securities Master FII,17.870.926/0001-30,"25.064,00",2137708.56,FII,31/03/2023,CPTS11
73,TRX EDIFICIOS CORPORATIVOS FII,15.006.267/0001-63,"1.420.270,00",12810835.4,FII,31/03/2023,CPTS11
74,WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,41.256.643/0001-88,"10.000,00",85000.0,FII,31/03/2023,CPTS11
75,XP HOTÉIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,18.308.516/0001-63,"11.476,00",1176290.0,FII,31/03/2023,CPTS11
76,XP Industrial Fundo de Investimento Imobiliário,28.516.325/0001-40,"197.051,00",13543315.23,FII,31/03/2023,CPTS11
77,XP MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,28.757.546/0001-00,"13.983,00",1335236.67,FII,31/03/2023,CPTS11
78,XP PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,30.654.849/0001-40,"177.614,00",4591321.9,FII,31/03/2023,CPTS11
79,MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,22.459.737/0001-00,"22.576,00",2154438.22,FII,31/03/2023,CPTS11
80,VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.691.520/0001-00,"22.576,00",2253221.81,FII,31/03/2023,CPTS11
81,CORPORATE OFFICE FII,48.916.699/0001-60,"258.086,53",25785159.09,FII,31/03/2023,CPTS11
82,FII SHOPPINGS AAA,47.896.665/0001-99,"120.000,00",12006518.1,FII,31/03/2023,CPTS11
83,FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA,30.871.698/0001-81,"10.493,00",1177998.46,FII,31/03/2023,CPTS11
84,FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO,27.538.422/0001-71,"392.046,00",45599558.91,FII,31/03/2023,CPTS11
85,XP EXETER DESENVOLVIMENTO LOGÍSTICO - FII,35.755.044/0001-06,"12.865,24",11332788.88,FII,31/03/2023,CPTS11
86,XP IDEA!ZARVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.262.531/0001-62,"4.963,76",4524333.81,FII,31/03/2023,CPTS11
87,XP EXETER II DESENVOLVIMENTO LOGÍSTICO FII,42.463.823/0001-01,"1.976,50",1886659.85,FII,31/03/2023,CPTS11
88,GENESIS MULTIESTRATÉGIA FII,30.982.974/0001-89,"1.082,00",1067989.66,FII,31/03/2023,CPTS11
89,BTG PACTUAL YIELD DI FI RF REF CP,00.840.011/0001-80,"2.040.275,95",78297916.7,Outros,31/03/2023,CPTS11
0,AUTONOMY EDIFÍCIOS CORPORATIVOS FII,35.765.826/0001-26,"40.317,00",2800015.65,FII,31/12/2022,CPTS11
1,BB FDO DE INV DE CRÉDITO FIAGRO - IMOBILIÁRIO,42.592.257/0001-20,"28.905,00",2368764.75,FII,31/12/2022,CPTS11
2,BRIO CRÉDITO ESTRUTURADO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.332.032/0001-20,"3.283,00",3118850.0,FII,31/12/2022,CPTS11
3,BLUEMACAW OFFICE FUND II FII,34.895.894/0001-47,"42,00",840000.0,FII,31/12/2022,CPTS11
4,BM BRASCAN LAJES FII,14.376.247/0001-11,"8.196,00",835910.04,FII,31/12/2022,CPTS11
5,BTGP SHOPPINGS FII,33.046.142/0001-49,"12.024,00",758834.64,FII,31/12/2022,CPTS11
6,BC FUND FII,08.924.783/0001-01,"1.019,00",60345.18,FII,31/12/2022,CPTS11
7,BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.752/0001-80,"44,00",49016.0,FII,31/12/2022,CPTS11
8,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,09.552.812/0001-14,"98.608,00",7976401.12,FII,31/12/2022,CPTS11
9,BTGP LOGISTICA FII,11.839.593/0001-09,"37.494,00",3764397.6,FII,31/12/2022,CPTS11
10,RBR CRI - FII,40.011.268/0001-43,"39.190,00",3292351.9,FII,31/12/2022,CPTS11
11,CX RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31.887.401/0001-39,"1.277,00",84320.31,FII,31/12/2022,CPTS11
12,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA,42.066.916/0001-94,"13.833,00",1098478.53,FII,31/12/2022,CPTS11
13,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO,17.098.794/0001-70,"21.795,00",1373085.0,FII,31/12/2022,CPTS11
14,FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA,12.887.506/0001-43,"256,00",112384.0,FII,31/12/2022,CPTS11
15,EQI CRI FII,41.076.380/0001-25,"146.658,00",1400583.9,FII,31/12/2022,CPTS11
16,VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.691.520/0001-00,"416.660,00",34505631.92,FII,31/12/2022,CPTS11
17,FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,01.633.741/0001-72,"2,00",117.98,FII,31/12/2022,CPTS11
18,FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN LOGÍSTICA,37.295.919/0001-60,"4.841.314,00",45459938.46,FII,31/12/2022,CPTS11
19,FII GUARDIAN MULTIESTRATÉGIA,41.269.052/0001-45,"1.095.100,00",9823047.0,FII,31/12/2022,CPTS11
20,GENERAL SHOPPING E OUTLETS DO BRASIL FII,11.769.604/0001-13,"714.980,00",3574900.0,FII,31/12/2022,CPTS11
